@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
239,'2020/01/11 17:26:26:837',13,258.398438,0.493254,8.255094,?
240,'2020/01/11 17:26:27:886',13,258.398438,0.6709,8.597202,?
241,'2020/01/11 17:26:28:720',13,215.332031,0.729653,7.094248,?
242,'2020/01/11 17:26:29:503',13,215.332031,0.705329,6.806485,?
243,'2020/01/11 17:26:30:271',13,258.398438,0.506521,5.927288,?
244,'2020/01/11 17:26:31:137',13,258.398438,0.574846,8.689648,?
245,'2020/01/11 17:26:31:854',13,258.398438,0.593324,9.893073,?
246,'2020/01/11 17:26:32:571',13,258.398438,0.353791,5.538877,?
247,'2020/01/11 17:26:33:187',13,258.398438,0.655183,9.900486,?
248,'2020/01/11 17:26:33:220',13,215.332031,0.619434,7.671943,?
249,'2020/01/11 17:26:33:887',13,258.398438,0.712121,7.594932,?
250,'2020/01/11 17:26:34:587',13,258.398438,0.411669,7.24415,?
251,'2020/01/11 17:26:35:371',13,215.332031,0.591062,7.481726,?
252,'2020/01/11 17:26:36:087',13,215.332031,0.514506,7.148364,?
253,'2020/01/11 17:26:36:770',13,215.332031,0.63514,7.972833,?
254,'2020/01/11 17:26:37:570',13,215.332031,0.845183,9.935213,?
255,'2020/01/11 17:26:38:637',13,258.398438,0.530895,7.706435,?
256,'2020/01/11 17:26:39:620',13,258.398438,0.687349,9.226446,?
257,'2020/01/11 17:26:40:620',13,258.398438,0.539245,9.897034,?
258,'2020/01/11 17:26:40:670',13,215.332031,0.64733,7.055542,?
259,'2020/01/11 17:26:41:454',13,215.332031,0.833407,9.480659,?
260,'2020/01/11 17:26:42:237',13,258.398438,0.401886,6.036974,?
261,'2020/01/11 17:26:43:020',13,258.398438,0.587633,8.138073,?
262,'2020/01/11 17:26:43:670',13,215.332031,1.031708,9.95627,?
263,'2020/01/11 17:26:44:637',13,258.398438,0.573823,9.662831,?
264,'2020/01/11 17:26:44:687',13,215.332031,0.63574,7.032395,?
265,'2020/01/11 17:26:45:487',13,215.332031,0.448645,5.162131,?
266,'2020/01/11 17:26:46:238',13,215.332031,0.630223,7.427846,?
267,'2020/01/11 17:26:46:970',13,258.398438,0.535841,9.831856,?
268,'2020/01/11 17:26:47:037',13,258.398438,0.398641,4.890128,?
269,'2020/01/11 17:26:47:787',13,258.398438,0.480364,5.946034,?
270,'2020/01/11 17:26:48:471',13,215.332031,0.591111,6.716459,?
271,'2020/01/11 17:26:49:138',13,258.398438,0.428467,6.783402,?
272,'2020/01/11 17:27:00:137',14,129.199219,0.869434,6.265306,?
273,'2020/01/11 17:27:00:854',14,129.199219,1.442184,8.407135,?
274,'2020/01/11 17:27:01:587',14,215.332031,1.600376,8.816263,?
275,'2020/01/11 17:27:02:321',14,129.199219,1.464127,9.153439,?
276,'2020/01/11 17:27:03:021',14,732.128906,1.441537,8.120854,?
277,'2020/01/11 17:27:03:755',14,258.398438,1.555269,9.694036,?
278,'2020/01/11 17:27:10:155',14,301.464844,1.470349,8.296775,?
279,'2020/01/11 17:27:10:804',14,301.464844,1.337802,7.302354,?
280,'2020/01/11 17:27:11:455',14,215.332031,1.107299,6.765132,?
281,'2020/01/11 17:27:12:105',14,172.265625,0.954975,6.99665,?
282,'2020/01/11 17:27:12:738',14,258.398438,0.685636,5.36394,?
283,'2020/01/11 17:27:13:372',14,258.398438,0.858042,6.33399,?
284,'2020/01/11 17:27:13:954',14,129.199219,1.105174,6.60069,?
285,'2020/01/11 17:27:23:989',15,215.332031,0.984759,9.912349,1
286,'2020/01/11 17:27:24:688',15,215.332031,0.846861,9.60592,1
287,'2020/01/11 17:27:25:505',15,215.332031,0.847581,8.896372,1
288,'2020/01/11 17:27:26:321',15,215.332031,0.63421,9.525197,1
289,'2020/01/11 17:27:27:138',15,258.398438,0.562227,9.419281,1
290,'2020/01/11 17:27:27:905',15,258.398438,0.721588,9.223177,1
291,'2020/01/11 17:27:28:622',15,215.332031,0.771463,9.041087,1
292,'2020/01/11 17:27:29:355',15,215.332031,0.708172,8.309225,1
293,'2020/01/11 17:27:30:072',15,215.332031,0.81727,9.316036,1
294,'2020/01/11 17:27:30:755',15,258.398438,0.440186,7.152383,1
295,'2020/01/11 17:27:31:455',15,258.398438,0.322258,5.166862,1
296,'2020/01/11 17:27:32:156',15,258.398438,0.431234,5.505036,1
297,'2020/01/11 17:27:32:872',15,258.398438,0.410209,7.024674,1
298,'2020/01/11 17:27:33:572',15,258.398438,0.664259,8.124507,1
299,'2020/01/11 17:27:34:039',15,215.332031,0.658722,9.961719,1
300,'2020/01/11 17:27:34:188',15,215.332031,0.623288,9.591809,1
301,'2020/01/11 17:27:34:255',15,258.398438,0.46637,5.801332,1
302,'2020/01/11 17:27:34:988',15,215.332031,0.738935,7.509652,1
303,'2020/01/11 17:27:35:639',15,301.464844,0.490469,6.251597,1
304,'2020/01/11 17:27:36:589',15,215.332031,0.853157,7.358087,1
305,'2020/01/11 17:27:37:238',15,215.332031,0.813717,9.449313,1
306,'2020/01/11 17:27:37:938',15,215.332031,0.564082,7.56533,1
307,'2020/01/11 17:27:38:555',15,215.332031,0.668263,9.359234,1
308,'2020/01/11 17:27:39:239',15,215.332031,0.726086,9.219883,1
309,'2020/01/11 17:27:39:905',15,258.398438,0.400574,6.870205,1
310,'2020/01/11 17:27:40:438',15,258.398438,0.625599,9.867359,1
311,'2020/01/11 17:27:40:556',15,258.398438,0.537128,8.668467,1
312,'2020/01/11 17:27:41:222',15,258.398438,0.540025,8.884784,1
313,'2020/01/11 17:27:41:889',15,258.398438,0.472626,7.251288,1
314,'2020/01/11 17:27:42:589',15,258.398438,0.291834,4.059655,1
315,'2020/01/11 17:27:43:289',15,258.398438,0.49558,6.018682,1
316,'2020/01/11 17:27:43:905',15,258.398438,0.618998,8.99824,1
317,'2020/01/11 17:27:44:556',15,215.332031,0.555947,7.450134,1
318,'2020/01/11 17:27:45:206',15,258.398438,0.683982,8.26515,1
319,'2020/01/11 17:27:45:872',15,215.332031,0.636958,7.402399,1
320,'2020/01/11 17:27:46:556',15,215.332031,0.536972,6.305018,1
321,'2020/01/11 17:27:47:172',15,258.398438,0.576581,6.346585,1
322,'2020/01/11 17:27:57:906',16,129.199219,1.513653,8.668987,2
323,'2020/01/11 17:27:57:940',16,172.265625,1.087497,6.144701,2
324,'2020/01/11 17:27:58:623',16,301.464844,1.363144,8.118426,2
325,'2020/01/11 17:27:59:322',16,172.265625,1.222416,8.534761,2
326,'2020/01/11 17:28:00:039',16,301.464844,0.924874,6.535118,2
327,'2020/01/11 17:28:00:739',16,172.265625,1.096204,7.290993,2
328,'2020/01/11 17:28:01:422',16,215.332031,1.576969,9.317427,2
329,'2020/01/11 17:28:02:139',16,258.398438,0.856203,5.338741,2
330,'2020/01/11 17:28:02:790',16,129.199219,1.232539,9.143512,2
331,'2020/01/11 17:28:03:439',16,129.199219,1.042219,9.097937,2
332,'2020/01/11 17:28:04:106',16,129.199219,1.004153,8.474602,2
333,'2020/01/11 17:28:04:773',16,129.199219,0.708924,6.371511,2
334,'2020/01/11 17:28:05:406',16,172.265625,1.328108,8.957549,2
335,'2020/01/11 17:28:06:056',16,129.199219,0.968148,7.810468,2
336,'2020/01/11 17:28:06:739',16,172.265625,1.224436,7.589691,2
337,'2020/01/11 17:28:07:406',16,129.199219,1.396127,8.703547,2
338,'2020/01/11 17:28:08:089',16,172.265625,1.00155,6.600677,2
339,'2020/01/11 17:28:08:739',16,172.265625,1.593697,9.349977,2
340,'2020/01/11 17:28:09:406',16,172.265625,1.068082,6.913437,2
341,'2020/01/11 17:28:25:106',17,645.996094,1.789916,7.324311,3
342,'2020/01/11 17:28:25:856',17,430.664063,1.733568,6.673858,3
